ra,dec,z,zErr,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class
1.5428434,0.038965026,0.6143709,0.000155352,-0.601725,0.9331027,3.174713,7.605488,12.32951,GALAXY
1.5059724,1.6971882,0.4260235,6.25E-05,0.3568687,1.589837,7.680666,14.85278,22.10489,GALAXY
1.5111259,1.8106096,0.4134162,8.16E-05,-0.2059171,1.447596,7.752396,15.34401,23.34878,GALAXY
1.5288444,1.8004068,0.4136876,7.21E-05,0.1176314,1.553799,7.7833,14.75602,21.08716,GALAXY
1.5344995,1.8321171,0.4257385,8.14E-05,-0.3962885,1.161547,6.295094,12.61686,18.71662,GALAXY
1.470289,1.7726236,0.4254737,7.66E-05,-0.2220185,0.775878,3.077725,5.326224,7.354299,GALAXY
1.5102798,1.8985808,0.1969519,2.11E-05,2.917916,11.7959,41.31768,65.78259,92.27025,GALAXY
1.5047183,1.2816535,0.5946043,0.000192646,-0.1663246,0.3695057,1.841515,5.156374,7.807908,GALAXY
1.5340331,1.3961475,0.502426,0.000113091,-0.9082842,0.626105,3.08582,7.571542,11.46769,GALAXY
1.5000963,1.3117153,0.5319093,8.43E-05,0.03774765,1.29415,6.407895,16.51979,25.66685,GALAXY
1.5396705,1.2672843,0.3327381,6.32E-05,0.1577377,1.898233,10.24797,18.47078,27.50152,GALAXY
1.5369567,1.415078,0.5052653,0.000128924,-0.3830807,0.5402304,2.890559,7.137385,10.84329,GALAXY
1.4721633,1.4224111,0.3828251,8.24E-05,0.2729623,1.599946,8.015311,14.4612,21.73837,GALAXY
1.4621272,1.5274138,0.7531797,0.000230759,-0.2118158,0.2116211,1.547943,6.27414,12.58494,GALAXY
1.5431118,1.4809126,0.5911353,0.000149477,0.1107931,0.7607989,3.176333,8.471485,13.95354,GALAXY
1.4996772,1.5386623,0.6701019,0.000131391,0.8628644,0.8280522,2.101521,5.325835,8.278507,GALAXY
1.524706,1.5227801,0.3828699,7.60E-05,-1.067619,1.366975,6.937131,12.30651,18.37743,GALAXY
1.5161768,1.5917674,0.5314227,0.000176145,-0.4927444,0.5449519,2.62384,6.855636,11.68663,GALAXY
1.3999351,1.7158657,0.6273048,0.000141763,0.4740904,0.4491938,2.697466,9.157908,14.7621,GALAXY
1.4751472,1.6457534,0.2658906,2.95E-05,0.3127939,5.858099,26.31397,45.65948,65.38039,GALAXY
1.3482912,1.685638,0.4244033,8.69E-05,-0.3555955,1.146476,6.237254,12.20053,18.3638,GALAXY
1.4624533,1.7344563,0.3441908,6.37E-05,-0.2284289,2.000866,10.30421,18.18515,26.74265,GALAXY
1.4509265,1.7629712,0.2364561,3.75E-05,0.308434,3.842613,15.17039,25.89089,36.78304,GALAXY
1.3896726,1.6993964,0.09499718,1.33E-05,7.849558,31.40968,80.91843,124.0653,175.244,GALAXY
1.4332441,1.8204919,0.6306016,0.000104632,0.1876282,1.253745,3.590583,8.613912,12.6658,GALAXY
1.3710657,1.7357804,0.4262148,6.32E-05,0.4424329,1.607082,8.760425,17.27986,25.85825,GALAXY
1.4647371,1.906499,0.436875,9.48E-05,-0.07952774,1.052066,6.106797,12.6331,19.44908,GALAXY
1.4049203,1.7813697,0.3438005,5.26E-05,-0.1284912,2.673983,13.67224,23.91529,33.76955,GALAXY
1.3777761,1.8955574,0.1839848,2.38E-05,2.385285,8.989521,30.0167,48.36247,68.21602,GALAXY
1.3785174,1.7873494,-0.000413077,6.59E-05,0.9782882,2.004257,2.617817,2.66821,1.830801,STAR
1.4267268,1.9416,0.430257,9.22E-05,-0.1936696,0.7168901,4.33857,8.516021,12.37896,GALAXY
1.4136493,1.9685216,0.4996361,0.0001035,-0.2605909,0.5273634,4.126787,10.33804,15.73707,GALAXY
1.3963748,1.8578119,0.4173784,7.91E-05,-0.000943398,0.9503068,6.45772,13.09399,20.15031,GALAXY
